state,income,mean,median,q025,q975
AK,1,0.09041204271546031,0.08476201730353644,0.03900693147552022,0.17379998750127815
AK,2,0.06788809881238485,0.0625138152700146,0.024634516521982907,0.14038072713588
AK,3,0.05423483281081999,0.052707968778335564,0.028294585199869486,0.08920555857263915
AK,4,0.04692701201784852,0.04553875925673058,0.022275644507162747,0.07970954056627584
AL,1,0.07251697367630323,0.0698343681829775,0.038990661788614815,0.12111182635664794
AL,2,0.056957581349393376,0.05500268964147183,0.02767616184696458,0.09676175695384864
AL,3,0.049442805330539366,0.048604305759782765,0.031479058396675134,0.0721916547485604
AL,4,0.04585332690914297,0.04442190892543495,0.025622306464102698,0.07377429501327255
AR,1,0.07175091722270592,0.06839890500382906,0.03447715711480629,0.12821346386465768
AR,2,0.06487043400689992,0.06184045140560684,0.025905411532642947,0.11978040039592724
AR,3,0.051381721506066125,0.05016409880248332,0.02804649120744894,0.08163254164841759
AR,4,0.04697319297536091,0.044102787731499137,0.01930616025426757,0.09011240213288062
AZ,1,0.0660937208864514,0.06330981715159763,0.03597202027960381,0.11267087274139342
AZ,2,0.056269499846646795,0.05288327135770765,0.027092282800738013,0.1050170888227491
AZ,3,0.06448642802865677,0.06343200951214135,0.041067913547752286,0.09410506029811451
AZ,4,0.04967642159060896,0.04831629627762411,0.027325481847665364,0.07971016739255848
CA,1,0.09487095454866541,0.09119260844446934,0.05242083012950647,0.1584107494160805
CA,2,0.07701657777606521,0.07268657426256497,0.0388034298013946,0.13979890234680756
CA,3,0.08612385142054127,0.08460126111398006,0.055713230159667726,0.12506375394038532
CA,4,0.06737126833395336,0.06633109057617889,0.04360076182010577,0.09688824565183798
CO,1,0.0899250933661061,0.08723012930441473,0.05191929371391739,0.14354140654359882
CO,2,0.07487921335452655,0.07246953212547434,0.04030249036970255,0.12271631532991148
CO,3,0.07109400439488138,0.07040448912429514,0.05023622688710284,0.09567611107714666
CO,4,0.06038450875602493,0.05984220696365681,0.04220781295499422,0.08147568080789853
CT,1,0.0,0.0,0.0,0.0
CT,2,0.0,0.0,0.0,0.0
CT,3,0.0,0.0,0.0,0.0
CT,4,0.0,0.0,0.0,0.0
DC,1,0.1429587524979531,0.13284996235529634,0.054425333976918976,0.28936366710868044
DC,2,0.14116802577654836,0.1270798728214675,0.04607530959991768,0.3172410475976366
DC,3,0.16682577131141496,0.16184742592022172,0.08547168694519104,0.2778432032865377
DC,4,0.11724822190697726,0.11454911272120887,0.06088466030110215,0.1889777058656389
DE,1,0.09851524875383778,0.09133625462263167,0.04516692132137006,0.1929201867159107
DE,2,0.16778631648482364,0.14963187828421542,0.05429617319328772,0.3772418714537232
DE,3,0.1237993581559138,0.11953566047073141,0.06364138556651518,0.20663847084447232
DE,4,0.11564950859824079,0.11056661990090069,0.05301881977585932,0.20384713923309986
FL,1,0.10933811806015939,0.10637265690213614,0.06423010088790813,0.17155672385612128
FL,2,0.07582120986838513,0.07377433987989301,0.04403723755790897,0.11904028706639633
FL,3,0.07993474764877834,0.07921831872142102,0.05783517844644396,0.10623510920354778
FL,4,0.06794120014225849,0.06707625292758554,0.04550205476074394,0.09535493999258249
GA,1,0.07871695477848753,0.07628912539585841,0.0456490723724069,0.12592611031062345
GA,2,0.07198335983786683,0.06969035644392962,0.03782825624102038,0.11896636574785031
GA,3,0.06906969588170447,0.0683363681953546,0.04806179404888024,0.0943079847819116
GA,4,0.06569884789347276,0.06482739804462573,0.043427724148215066,0.09274942195302191
HI,1,0.16083040152184008,0.15084379300329004,0.06918134314424429,0.3087723741297653
HI,2,0.11381112883290738,0.10519833323496458,0.04214700686709187,0.23307852839749116
HI,3,0.08967662345196645,0.08688732900298403,0.046371675334255784,0.14870053037634648
HI,4,0.0725345335621236,0.07048071172331509,0.035692776983855055,0.12203716283178055
IA,1,0.08127433747183854,0.07693863681055432,0.03689718241811863,0.1507086401319068
IA,2,0.06421713840321512,0.06007345474385427,0.024255954453987413,0.12634132074291726
IA,3,0.05104907285906618,0.049892200988949115,0.0275625833535911,0.08091228193247109
IA,4,0.04628305773981814,0.044364177760151405,0.020089106408241224,0.08284505774659821
ID,1,0.08589152103243754,0.08077786504176893,0.037991233523558904,0.16261286521277538
ID,2,0.05872041238048817,0.055489531748942625,0.02366848737775509,0.11182001963227313
ID,3,0.0481300621469406,0.046873715125851624,0.026688222465315103,0.07652334022252205
ID,4,0.04278004654558571,0.04107838544161749,0.019342693305082512,0.0757963804220747
IL,1,0.06889421680427646,0.06702004833787328,0.0406828249743689,0.10779506480822892
IL,2,0.06661845323184834,0.06463812782720949,0.03594378986324152,0.10860626955787983
IL,3,0.06622226284717243,0.0656196539871878,0.046532443118020364,0.08954470421757073
IL,4,0.05573745279410105,0.05510494829357154,0.037454349399626774,0.07754982996634856
IN,1,0.07715252253152333,0.07480032553238139,0.04463616078686945,0.12295337338165081
IN,2,0.06379074929576498,0.0616819273335764,0.03382071319713332,0.10513260923690156
IN,3,0.058557193455863604,0.05796870861944643,0.04095153654938792,0.07950301141268389
IN,4,0.05360103835294453,0.05257345752649491,0.0335705831429101,0.0791654523942701
KS,1,0.07033256851728349,0.06750943596584341,0.03679054923378012,0.12007257621884958
KS,2,0.058289594838343665,0.05557844540201846,0.026721959407316354,0.10394573075498217
KS,3,0.049497897229697094,0.048793320793372674,0.03146872814632099,0.07143018264777812
KS,4,0.04792440474977871,0.0467741246828247,0.028492485140036657,0.07352601642429858
KY,1,0.06693019425496675,0.06442045010723138,0.03775473946422356,0.11053758016408179
KY,2,0.08015887164873568,0.0761896729568366,0.03641632798938133,0.14419933014879327
KY,3,0.06537946694314759,0.0641961417444853,0.042114726669172736,0.09514900332441696
KY,4,0.06001456574737143,0.05712792681112473,0.033690216115315086,0.10120768819118707
LA,1,0.09566799014317472,0.09126678021056292,0.04617590709002739,0.16989625321411042
LA,2,0.055081855535667565,0.05271563705183,0.0243838559748169,0.10002121890263917
LA,3,0.04822871331417464,0.04653968697490814,0.02606370925233891,0.08001571070624575
LA,4,0.04141724504408265,0.03927846870279741,0.018180280782497556,0.07686710699983162
MA,1,0.10855452950981469,0.10416939258400856,0.05953819124789266,0.1826101427592021
MA,2,0.07527727716340094,0.07086851144969336,0.03789079686703867,0.13737291889026845
MA,3,0.08017863739326811,0.07875451776282522,0.0525915339419724,0.11618776663210116
MA,4,0.07213020474965878,0.07131943929097624,0.048909052292750964,0.09996730288005355
MD,1,0.0753003385947034,0.0700291567753154,0.037490285342666525,0.14341221783485825
MD,2,0.07208158987915299,0.06734560759923927,0.034212339536419556,0.13678958448126596
MD,3,0.07202792756914718,0.07054567074742055,0.04525173812292805,0.10755370785875461
MD,4,0.0647358949260041,0.06386444640344457,0.041601094740858144,0.09282290294102587
ME,1,0.10904979749629956,0.10304714852148561,0.04945251630279093,0.20227018013435147
ME,2,0.09791534776042254,0.09136865339077294,0.03571961036324524,0.19450712291135894
ME,3,0.07671089381279796,0.07478950365038899,0.04062864532644755,0.12354194864808232
ME,4,0.07025344452915343,0.06709657085882757,0.030364857086401627,0.1266380927044181
MI,1,0.06996678360696529,0.06810986902036187,0.04159411287738168,0.1089535196023577
MI,2,0.06134446284331392,0.05956629360235586,0.03331053517525032,0.09914568661140853
MI,3,0.05788571255521383,0.057382064510005354,0.041160472350449284,0.07742228170832595
MI,4,0.052505159436980496,0.051720986108695965,0.03416034136484576,0.0750080231796948
MN,1,0.06372641557633911,0.06186016104777731,0.03721242360676448,0.10084427528211748
MN,2,0.06949737342267981,0.06643560732760972,0.0347273129368495,0.1204038819094149
MN,3,0.06453078571004761,0.06392092123619056,0.04446800030081466,0.08793340957224163
MN,4,0.05675651008404564,0.05611350535803747,0.03806383082620427,0.07903674312294723
MO,1,0.0674063318694949,0.06558562626440384,0.040160834902993846,0.10512284590631217
MO,2,0.0712884356481435,0.06870070726143136,0.0363781820599956,0.11983951009544863
MO,3,0.06258061183334955,0.06191617389409216,0.043508918344703114,0.08528989361715934
MO,4,0.056602292851736784,0.05529585355167278,0.03527458952665508,0.08471454020455282
MS,1,0.051489619492696294,0.04899705438195516,0.02604716836805058,0.09104188184709616
MS,2,0.06689343231659708,0.06297695681727619,0.024980155452792585,0.12939889095016263
MS,3,0.05014879541962986,0.0486449904799003,0.02696900743139136,0.08140162604692086
MS,4,0.0491828302338392,0.044986109407795044,0.020066206444425062,0.09962833639876187
MT,1,0.06604750526758534,0.062494753687858416,0.03013810358032048,0.12267525948627755
MT,2,0.06653676740108873,0.061630374208575534,0.023363194510067745,0.1354534514360388
MT,3,0.049613854814865334,0.04828808198090431,0.025743536425443476,0.08097950834034591
MT,4,0.04503519096000998,0.04232331157159376,0.01771564288000384,0.08652572940747237
NC,1,0.07865884672632968,0.07574287521108354,0.043357041019316714,0.13086766188324658
NC,2,0.06472133431465296,0.062388190391122325,0.03268460211931465,0.10909732575677512
NC,3,0.056870143361409733,0.05609102263955742,0.03836740084451965,0.07971857447480236
NC,4,0.049576075092103246,0.04837037822952729,0.030601355185110205,0.07530979540474156
ND,1,0.09191796687087306,0.08631406288878249,0.04038541534842061,0.17624890782488797
ND,2,0.0622123977196597,0.05846639071440445,0.024531614025902086,0.12116704137034044
ND,3,0.05253173453952641,0.05092893909257887,0.02791405976600278,0.08641055254910068
ND,4,0.04607077936651869,0.04437156444068102,0.020461356138059043,0.08152633157595819
NE,1,0.08339462565008332,0.07872457600808927,0.03759163690900571,0.15529043524902728
NE,2,0.060394521901257825,0.05678600150481419,0.023492737970309208,0.11706724193902479
NE,3,0.049020387369894676,0.0478423673893387,0.026660792859639282,0.07779805569984694
NE,4,0.043522631515563216,0.04181902067324218,0.019567655723109124,0.07672523102247777
NH,1,0.08882183841707263,0.0844507999679138,0.0437616256414464,0.15898792870895787
NH,2,0.1032898419962504,0.09394751312325045,0.038965344161180866,0.21667662508386532
NH,3,0.07983595854406854,0.07788728604143219,0.04595136396826008,0.12457962799361448
NH,4,0.07245988127969788,0.07106991235873256,0.04155545955603203,0.11081665193863417
NJ,1,0.07941021017841583,0.07479023838779955,0.041162536268123016,0.14396369224294897
NJ,2,0.06258166197085574,0.05806364789239525,0.02871503509806988,0.12162420933132574
NJ,3,0.06814812630418135,0.06683966841200845,0.04349476088508457,0.10083357406668939
NJ,4,0.06058674755533896,0.05980911538609454,0.03968507845848722,0.08583495370616351
NM,1,0.10739349361763292,0.10219865485651561,0.05099628344416789,0.19286057920348754
NM,2,0.07281584418616864,0.06953333193492023,0.030540239151207443,0.1338358117629861
NM,3,0.062473685805508494,0.060688621795909906,0.03411455740967709,0.10092702053308193
NM,4,0.05620238891280063,0.05369504797936542,0.024571215191975374,0.10209520955524931
NV,1,0.0818558090361609,0.0786773721489202,0.043619717343053095,0.1383978097192954
NV,2,0.06905334935397445,0.06561259215026627,0.033438766648497834,0.12388769939444506
NV,3,0.07376857442476836,0.07268113795696773,0.04798435076976015,0.10580602411043478
NV,4,0.05606135414567782,0.05467612280172518,0.0321583138098884,0.0879941628519541
NY,1,0.08568870330980313,0.0831370166865365,0.04954782043383602,0.13630617075989532
NY,2,0.07743340590219334,0.0746396762199733,0.041736781387869494,0.12877104772446485
NY,3,0.08030342526436172,0.07931666761505779,0.05539036015893018,0.1108712930266984
NY,4,0.06669134407545409,0.06588361024078782,0.04567361002023769,0.092443627716358
OH,1,0.07325419841496252,0.07138121682571616,0.04363099885760584,0.11396901276535998
OH,2,0.06315871250818446,0.06122996808385983,0.03428429632609199,0.10261468061792096
OH,3,0.05930035723615983,0.05874310103941171,0.041986012462791364,0.07968680612950088
OH,4,0.05190154647467789,0.05097864602184031,0.033218341363759576,0.07556770884602157
OK,1,0.04933191383764143,0.04726375703000499,0.027154288597259824,0.0833474233535328
OK,2,0.07492313381388745,0.0714453008339934,0.034200862033263585,0.13293227264227112
OK,3,0.06420681073682882,0.06322928240800779,0.04242583699973817,0.09120465272576066
OK,4,0.05791713515832802,0.05551309049579409,0.0319468170078867,0.09628883279634781
OR,1,0.09286691036235412,0.09035856360577635,0.054427507392816085,0.14587943330458072
OR,2,0.08370337900942063,0.08068008461903975,0.04382336842964991,0.13984510148861515
OR,3,0.07765091237963603,0.07689438495253281,0.054534344459457686,0.10492919989731167
OR,4,0.06987101624290702,0.06900609709509029,0.047090446419914916,0.09743096265818595
PA,1,0.07847570251980576,0.07642772849337567,0.04651171195098312,0.12241218145826921
PA,2,0.06353198027086997,0.06188882087647179,0.0353982789064902,0.10070520185147326
PA,3,0.061023583706550984,0.06045243589912121,0.04344687991648226,0.08199588540529668
PA,4,0.054064163824702985,0.05341951127283134,0.03643055545085739,0.07528378222604966
RI,1,0.06906759505941809,0.06593398619977803,0.03326057159913892,0.12222834044370921
RI,2,0.06577362382613561,0.06229865188911972,0.029976701438250847,0.12093820337751049
RI,3,0.07485481698391504,0.0737897311300992,0.04878433721186322,0.10719898908350725
RI,4,0.0607976869330811,0.05987195791820414,0.03848641813583045,0.08830192566160103
SC,1,0.09251778642673363,0.08797523689705722,0.044804752298651586,0.16584348862339243
SC,2,0.05555938432188775,0.053337360819237976,0.026295968290879778,0.09800697925088492
SC,3,0.0492153118300124,0.0477674850879895,0.02904313513389628,0.0773989365499434
SC,4,0.042678654218912454,0.040919190757656154,0.021952503593547664,0.07371635002118722
SD,1,0.055775617162296086,0.05251377890033474,0.02504225461036944,0.10492735357164178
SD,2,0.06007022245287868,0.055238984000390096,0.020689485224579602,0.12503744503159298
SD,3,0.04426224702550499,0.0431193950728645,0.022736269368317047,0.0722535870543732
SD,4,0.040878072126821374,0.038550900549221806,0.01599478521591987,0.07768194399152738
TN,1,0.06787753971445133,0.06594885076009897,0.039784502723438864,0.10744206281940603
TN,2,0.06501645359391393,0.06262238742734527,0.03342837197504872,0.1090933601236499
TN,3,0.05807235064820706,0.05745449622237721,0.04041476800053889,0.07923921921133853
TN,4,0.05068892719705979,0.04939747496089626,0.03175645639876164,0.07656546067043593
TX,1,0.07146286314346911,0.06970975858225925,0.042888610263837314,0.11035520634202399
TX,2,0.060669757876203566,0.05889092090897731,0.033706840512101495,0.09772930222487357
TX,3,0.06337431132499374,0.06276155180395851,0.04474479376627902,0.08568492567483378
TX,4,0.05308393822241511,0.05238944383355468,0.03532018754628322,0.074841460489206
UT,1,0.08790138809532907,0.08432321633996095,0.046486980699159006,0.1499917693448057
UT,2,0.06479978639830758,0.062384332458846975,0.03309099439524489,0.11016571783438148
UT,3,0.06387330693557758,0.06302414836789846,0.04261563983317261,0.08963233833130653
UT,4,0.050372767920777224,0.04960895462720598,0.03187807546691513,0.07340368309503757
VA,1,0.07794595792885387,0.07424642859380595,0.042291256526420754,0.1346691872955129
VA,2,0.07360908773416293,0.07063789639703032,0.037128372554314094,0.12694942227814143
VA,3,0.07063471303649223,0.06954287107372958,0.04711214110309857,0.10044600411289828
VA,4,0.06833024939944446,0.06754170865407091,0.04568827014402506,0.09547201414567412
VT,1,0.09208369904400474,0.08537639895134733,0.039241897502286814,0.18268605075830824
VT,2,0.13597628892639327,0.12033479546622558,0.035705288260309505,0.31682690434951666
VT,3,0.09409825733728744,0.09010621567652916,0.04015831376897646,0.16920943234694807
VT,4,0.08991148405323232,0.0847367164574774,0.03115195456606969,0.17473987245999084
WA,1,0.09813975321723031,0.09537042792755002,0.056862736128914196,0.15560323250387872
WA,2,0.07839786273255055,0.07613320505408663,0.042818373515538036,0.12705107001154667
WA,3,0.07738117584675545,0.07662693891599591,0.05435533895383313,0.10453003995124237
WA,4,0.06775866603788341,0.06726964165499269,0.047912652280757424,0.09031749143086387
WI,1,0.07667057536082401,0.07347420866701043,0.04154320496945816,0.13019497427526655
WI,2,0.060078332341687926,0.057356317394895696,0.030001943796781318,0.10467975129875648
WI,3,0.05328634993305628,0.05251045812089686,0.03510489216547296,0.0758375324683113
WI,4,0.047442860353940984,0.04630429328819033,0.02823722553873913,0.0729823077189807
WV,1,0.0772832150577629,0.07386167251930734,0.03805688286133612,0.13585508868226714
WV,2,0.068233539206078,0.06465985751964112,0.026752564099152623,0.12875305738543677
WV,3,0.05429890459353141,0.05291776131628009,0.029568600290941344,0.08663362532812253
WV,4,0.05181127783158935,0.04856002270812345,0.021857094637418348,0.09906205501661129
WY,1,0.05591291310451834,0.051585780296664906,0.023257896898909208,0.11331101666431487
WY,2,0.08067976591477831,0.07157562904462983,0.022164640260431433,0.1865898898463355
WY,3,0.05696444545380602,0.054389519108228715,0.024331290326065506,0.10351172413279278
WY,4,0.05779273809370988,0.054348086284482275,0.018171543698140023,0.11574663280159736
